<ID>;<Name>;ATPD_PICT_EUROFEUILLE;ATPD_PICT_AB_AGRI_BIO;photo_id;media_url
P02000000000123;AUCHAN BIOD YAOURT CITRON X4;Oui;;MEDIASTEP9660076;https://media.auchan.fr/MEDIASTEP9660076_0x0/
P02000000000122;AUCHAN BIOD YRT MANG VANI X4;Oui;;MEDIASTEP9660075;https://media.auchan.fr/MEDIASTEP9660075_0x0/
P0200000000011Q;BIO L2V FONDANT CACAO 4X125G;;Oui;MEDIASTEP159602103;https://media.auchan.fr/MEDIASTEP159602103_0x0/
P0200000000020S;BIO L2V POIRE 4X115G;;Oui;MEDIASTEP132323229;https://media.auchan.fr/MEDIASTEP132323229_0x0/
P0200000000020U;BIO L2V COCO 4X115G;;Oui;MEDIASTEP132323269;https://media.auchan.fr/MEDIASTEP132323269_0x0/
P0200000000022R;BIO MATIN LEGER LAIT BT 6X50CL;Oui;Oui;MEDIASTEP161555424;https://media.auchan.fr/MEDIASTEP161555424_0x0/
P020000000002EN;BIOL CA DES POMME PRUNEAU X4;;Oui;MEDIASTEP70263976;https://media.auchan.fr/MEDIASTEP70263976_0x0/
P020000000002GK;AUCHAN BIO PUREE POMME SSA X4;Oui;;MEDIASTEP66804268;https://media.auchan.fr/MEDIASTEP66804268_0x0/
P020000000002NY;AUCHAN BIOD YT NATURE SUCRE X4;Oui;;MEDIASTEP74724506;https://media.auchan.fr/MEDIASTEP74724506_0x0/
P020000000003GS;BIO L2V FRAMBOISE 4X115G;;Oui;MEDIASTEP132323424;https://media.auchan.fr/MEDIASTEP132323424_0x0/
P020000000003GR;BIO L2V MYRTILLE 4X115G;;Oui;MEDIASTEP132852214;https://media.auchan.fr/MEDIASTEP132852214_0x0/
P020000000003GT;BIO L2V YRT JUS CITRON 4X115G;;Oui;MEDIASTEP132323462;https://media.auchan.fr/MEDIASTEP132323462_0x0/
P020000000003W9;BIOL PRESIDENT CFR 30%MG 40CL;Oui;Oui;MEDIASTEP77904849;https://media.auchan.fr/MEDIASTEP77904849_0x0/
A0220160311000029020;AUCHAN BIOD PPC VANILLE 2X100G;Oui;;MEDIASTEP9658569;https://media.auchan.fr/MEDIASTEP9658569_0x0/
A0220160311000029019;AUCHAN BIOD PPC CHOC 2X100G;Oui;;MEDIASTEP9658568;https://media.auchan.fr/MEDIASTEP9658568_0x0/
A0220150826000862784;BIO L2V VANILLE 4X115G;Oui;Oui;MEDIASTEP76403153;https://media.auchan.fr/MEDIASTEP76403153_0x0/
A0220150824000862570;AUCHAN BIOD CREM 15% BK 3X20CL;Oui;;MEDIASTEP61362805;https://media.auchan.fr/MEDIASTEP61362805_0x0/
A0220150410000806627;BIO L2V YAB PECHE FRAISE X6;Oui;Oui;MEDIASTEP165212970;https://media.auchan.fr/MEDIASTEP165212970_0x0/
A0220150324000805995;AUCHAN BIOD YAOURT VANILLE X4;Oui;;MEDIASTEP9661475;https://media.auchan.fr/MEDIASTEP9661475_0x0/
A0220150130000803424;BIO VRAI YT NATURE 8X125G FF;;Oui;MEDIASTEP99335762;https://media.auchan.fr/MEDIASTEP99335762_0x0/
A0220150130000803433;BIOL CA DESSERT POMM CASSIS X4;;Oui;MEDIASTEP144164510;https://media.auchan.fr/MEDIASTEP144164510_0x0/
A0220141222000802138;REG BIO VERNEUIL LAIT 1/2E BK1L;Oui;;MEDIASTEP140211378;https://media.auchan.fr/MEDIASTEP140211378_0x0/
A0220141222000802141;REG BIO LAIT 1/2E BK 6X1L;;Oui;MEDIASTEP139803132;https://media.auchan.fr/MEDIASTEP139803132_0x0/
A0220140925000798999;AUC BIO YAOURT LIT CHATAIGNEX2;Oui;;MEDIASTEP88483505;https://media.auchan.fr/MEDIASTEP88483505_0x0/
A0220140901000797564;BIO L2V BRASSE NATURE 4X115G;;Oui;MEDIASTEP159602623;https://media.auchan.fr/MEDIASTEP159602623_0x0/
A0220140424000791246;AUCHAN BIOD YAOURT BREB MYR X2;Oui;;MEDIASTEP9660775;https://media.auchan.fr/MEDIASTEP9660775_0x0/
A0220140424000791239;AUCHAN BIOD YAOURT BREB CHA X2;Oui;;MEDIASTEP9660773;https://media.auchan.fr/MEDIASTEP9660773_0x0/
A0220140415000790882;BIO VRAI YAOURT 0% NAT 4X125G;;Oui;MEDIASTEP138953522;https://media.auchan.fr/MEDIASTEP138953522_0x0/
A0220140415000790884;BIO VRAI YT LAIT BREB NAT250G;;Oui;MEDIASTEP138966174;https://media.auchan.fr/MEDIASTEP138966174_0x0/
A0220140415000790886;BIO VRAI FROM BLC 3;;;MEDIASTEP138953595;https://media.auchan.fr/MEDIASTEP138953595_0x0/
A0220140415000790880;BIO VRAI YAOURT NATURE 4X125G;;Oui;MEDIASTEP164470650;https://media.auchan.fr/MEDIASTEP164470650_0x0/
A0220140404000790371;BIO VRAI YT BREBIS MYRT 2X125G;;Oui;MEDIASTEP138967770;https://media.auchan.fr/MEDIASTEP138967770_0x0/
A0220130329000643927;BIO L2V FLAN 4X100G;;Oui;MEDIASTEP164951188;https://media.auchan.fr/MEDIASTEP164951188_0x0/
A0220130131000642524;BIO VRAI FROM BLC CHEVRE 400G;;Oui;MEDIASTEP138962275;https://media.auchan.fr/MEDIASTEP138962275_0x0/
A0220121105000012620;BIOL C ALICE POMME RHUBARBE X4;;Oui;MEDIASTEP144164387;https://media.auchan.fr/MEDIASTEP144164387_0x0/
A0220120628000544323;BIO VRAI Y BREBIS NATURE 4X120;;Oui;MEDIASTEP72099943;https://media.auchan.fr/MEDIASTEP72099943_0x0/
A0220120620000543161;AUC BIO CREME FL 30% BT 25CL;Oui;;MEDIASTEP81271559;https://media.auchan.fr/MEDIASTEP81271559_0x0/
A0220120619000543021;REG FAISSELLE BIO 40% 4X100G;;Oui;MEDIASTEP85295265;https://media.auchan.fr/MEDIASTEP85295265_0x0/
A0220120116000302798;BIO LACTEL 1/2E BT 7+1GT;Oui;Oui;MEDIASTEP73419694;https://media.auchan.fr/MEDIASTEP73419694_0x0/
A0220111004000022346;AUC BIOD YRT LAIT BREBIS VANX2;Oui;;MEDIASTEP61590187;https://media.auchan.fr/MEDIASTEP61590187_0x0/
A0220110728000386826;BIO VRAI FR BLANC BREBIS 400G;;Oui;MEDIASTEP138972423;https://media.auchan.fr/MEDIASTEP138972423_0x0/
