"<ID>";"ATPD_00101";"GTIN achat";"ATPDA_72101260";"ATPD_200133"
"AUCH_ACHA_104433541";"P020000000001AG";"3033491139444";"";"Lait fermenté nature au Bifidus"
"AUCH_ACHA_104433765";"P020000000005GW";"3033491314827";"";"Lait fermenté sucré, aux fruits et au bifidus"
"AUCH_ACHA_104433809";"P020000000005YP";"3033491325373";"";"Lait fermenté sucré aux fruits, au bifidus, aromatisé"
"AUCH_ACHA_104434113";"P020000000007L4";"3033491382154";"";"Lait fermenté aux fruits, sucré, aromatisé, au bifidus"
"AUCH_ACHA_104434224";"P020000000008AS";"3033491434129";"";"Crème dessert au chocolat aromatisée saveur noisette"
"AUCH_ACHA_104434229";"P020000000008AQ";"3033491418976";"";"Dessert lacté au chocolat"
"AUCH_ACHA_104434257";"P020000000008HH";"3033491279713";"";"crème dessert au chocolat"
"AUCH_ACHA_104434302";"P02000000000903";"3033491279768";"";"Crème dessert aromatisée saveur vanille"
"AUCH_ACHA_104434305";"P020000000008ZT";"3033491279744";"";"Crème dessert au chocolat noir"
"AUCH_ACHA_104434315";"P020000000009XC";"3033491474187";"";"Spécialité laitière nature"
"AUCH_ACHA_104434352";"P02000000000AKP";"3033491482953";"";"Spécialité laitière à la myrtille, aromatisée, avec édulcorants, enrichie en vitamine D"
"AUCH_ACHA_104433657";"P020000000003I1";"3033491233692";"";"Spécialité laitière à boire aux fruits, sucrée, enrichie en calcium et vitamine D"
"AUCH_ACHA_104433694";"P0200000000043F";"3033491225222";"";"fromage blanc sucré, aux fruits, aromatisé, enrichi en calcium et en vitamine D"
"AUCH_ACHA_104433706";"P0200000000044C";"3033490004545";"";"yaourt nature"
"AUCH_ACHA_104433776";"P020000000005GU";"3033491313882";"";"Lait fermenté sucré, aux fruits et au bifidus"
"AUCH_ACHA_104433807";"P020000000005YO";"3033491325403";"";"Lait fermenté sucré aux fruits, au bifidus, aromatisé"
"AUCH_ACHA_104434045";"P0200000000077Z";"3033491350955";"";"Lait fermenté sucré, aromatisé, au bifidus"
"AUCH_ACHA_104434152";"P02000000000874";"3033491426094";"";"Lait fermenté à boire, sucré et enrichi en vitamines B6 et D"
"AUCH_ACHA_104434175";"P02000000000848";"3033491425790";"";"yaourt nature"
"AUCH_ACHA_104434231";"P020000000008AX";"3033491420382";"";"crème dessert au chocolat"
"AUCH_ACHA_104434307";"P020000000008ZL";"3033491358357";"";"Dessert lacté aromatisé saveur vanille"
"AUCH_ACHA_104434310";"P0200000000090H";"3033491461583";"";"Spécialité laitière nature"
"AUCH_ACHA_104433732";"P020000000004VM";"3033491139437";"";"Lait fermenté nature au Bifidus"
"AUCH_ACHA_104433941";"P020000000006FW";"3033491351082";"";"Lait fermenté sucré, aromatisé, au bifidus"
"AUCH_ACHA_104434125";"P020000000007L2";"3033491382178";"";"Lait fermenté aux fruits ou aux fruits et au jus de fruit, avec sucres et édulcorants et au bifidus"
"AUCH_ACHA_104434246";"P020000000008HM";"3033491432774";"";"crème dessert au chocolat Crème dessert lactée au chocolat	 Crème dessert au chocolat aromatisée saveur noisette"
"AUCH_ACHA_104434252";"P020000000008IB";"3033491426209";"";"Lait fermenté sucré, aromatisé, au bifidus"
"AUCH_ACHA_104434471";"P02000000000EW8";"3033491556753";"";"Lait fermenté sucré aux fruits, au bifidus, aromatisé"
"AUCH_ACHA_104434473";"P02000000000EW9";"3033491556739";"";"Lait fermenté sucré aux fruits, au bifidus, aromatisé"
"AUCH_ACHA_104434549";"P02000000000KC3";"3033491589669";"";"Dessert végétal au lait de coco et au chocolat"
"AUCH_ACHA_104435080";"A0220110407000044315";"3033490595401";"";"Dessert lacté au chocolat"
"AUCH_ACHA_104434253";"P020000000008HJ";"3033491432736";"";"Crème dessert au chocolat noir"
"AUCH_ACHA_104434291";"P02000000000900";"3033491279652";"";"Crème dessert au café"
"AUCH_ACHA_104434455";"P02000000000EWC";"3033491556128";"";"spécialité laitière sucrée, aux fruits"
"AUCH_ACHA_104434545";"P02000000000IID";"3033491579745";"";"yaourt brassé sucré aux fruits"
"AUCH_ACHA_104434905";"A0220150115000802746";"3033491012006";"";"Crème dessert aromatisée saveur vanille et billes soufflées enrobées de3 chocolats"
"AUCH_ACHA_104434921";"A0220140331000790005";"3033490909192";"";"Mousse lactée au chocolat"
"AUCH_ACHA_104434923";"A0220140424000791279";"3033490839239";"";"lait fermenté à boire, sucré et enrichi en vitamines B6 et D"
"AUCH_ACHA_104435170";"A0220090319000048659";"3033490328030";"";"Spécialité laitière enrichie en vitamine D"
"AUCH_ACHA_104435198";"A0220061018000384891";"3033490179861";"";"Yaourt brassé nature"
"AUCH_ACHA_104435236";"A0219910606000049730";"3033490128005";"";"Fromage blanc nature salé"
"AUCH_ACHA_104791255";"A0220140110000389637";"3596710406074";"";"Crème dessert saveur pistache       "
"AUCH_ACHA_104791282";"A0220000525000642091";"3596710016495";"";"Crème Dessert au Café"
"AUCH_ACHA_104791257";"A0219920512000036683";"3254560366831";"";"Crème Dessert au chocolat"
"AUCH_ACHA_104791258";"A0219920512000036661";"3254560366619";"";"Crème Dessert saveur Vanille"
"AUCH_ACHA_104899885";"P02000000000DB5";"3596710478125";"";"lait demi-écrémé stérilisé UHT"
"AUCH_ACHA_104901067";"P02000000000FKT";"3760239210010";"Gourmandie";"4 Yaourts Nature "
"AUCH_ACHA_105017452";"A0220130723000655148";"3596710399482";"";"Lait de chèvre demi-écrémé stérilisé UHT"
"AUCH_ACHA_105115259";"P02000000000LMK";"3155250011522";"";"Crème légère stérilisée UHT sucrée aromatisée sous pression"
"AUCH_ACHA_105116181";"P020000000008SH";"8000500309469";"";"KINDER CHOCOFRESH : Chocolat supérieur au lait fourré lait et noisette"
"AUCH_ACHA_105119161";"A0220070410000035748";"3451790439353";"";"Crème entière épaisse 30% M.G."
"AUCH_ACHA_105569049";"P02000000000W5A";"3033491420795";"";"Crème dessert au caramel"
"AUCH_ACHA_105572919";"P0200000000091E";"3329770063624";"";"Yaourt sucré, aux fruits aromatisé"
"AUCH_ACHA_105587652";"P02000000000W81";"5412949096788";"";"Cheesecake au Daim 2x85g"
"AUCH_ACHA_105945568";"A0219940218000019264";"3176571959003";"Lait collecté et conditionné en France";"Lait à 1% de matières grasses et 2,7% de lactose stérilisé U.H.T. et source de vitamines A, B1, B2, B5, B6, B8, B9, B12, E, PP et D."
"AUCH_ACHA_105991112";"A0220130514000645778";"3463342709319";"";"BAIKO YT CORBEILL FRUIT 6X125G"
"AUCH_ACHA_105991111";"A0220140521000792247";"3372900900634";"";"Mousse au chocolat à l'ancienne 400G"
"AUCH_ACHA_105991117";"A0220070410000035613";"3451790439506";"";"Crème Légère Epaisse 12% M.G."
"AUCH_ACHA_106087134";"P02000000000941";"3033491451652";"";"Petit-Suisse"
"AUCH_ACHA_106235859";"P02000000000CE8";"3760074310128";"";"Velouté des Pyrénées Pomme Nature Cazaubon"
"AUCH_ACHA_106235878";"P02000000000CE4";"3760074310142";"";"Velouté des Pyrénées à la Pomme Canelle Cazaubon"
"AUCH_ACHA_106235810";"P02000000000CCR";"3760074310029";"";"Yaourts fermiers nature sucré Cazaubon 4*125g"
"AUCH_ACHA_106239034";"P02000000000GBH";"3760074310180";"";"Velouté des Pyrénées Pommes Fruits Rouges"
"AUCH_ACHA_106593352";"P020000000003UW";"3413160013068"
"AUCH_ACHA_106593449";"A0220090311000029153";"3413160001430"
"AUCH_ACHA_106593451";"A0220081014000245793";"3413160000419"
"AUCH_ACHA_106597801";"A0220090803000013741";"8435257004693";"";"Spécialité laitière au café, avec sucres et édulcorants."
"AUCH_ACHA_106617438";"A0219950623000018801";"3596710465156";"";"lait demi-écrémé stérilisé UHT"
"AUCH_ACHA_106616941";"P0200000000057M";"3329770061149";"";"Spécialité laitière sucrée aux fruits à base de Fromage Frais (enrichie en vitamine D)  "
"AUCH_ACHA_106617436";"A0219940316000045283";"3252212910081";"";"Lait écrémé enrichi en vitamine D stérilisé UHT"
"AUCH_ACHA_106646322";"P020000000001CL";"3608580796374";"";"Dessert de poires Williams avec morceaux."
"AUCH_ACHA_106646156";"P0200000000011Q";"3661344117297";"Ecocert;AB Agriculture biologique";"Dessert lacté bio au cacao"
"AUCH_ACHA_106646356";"P020000000001E2";"3155250367926";"";"Crème légère 25% MG stérilisée"
"AUCH_ACHA_106646855";"P020000000001N0";"3297760019992";"";"Spécialité de Pommes Myrtilles SSA 4x97g OE"
"AUCH_ACHA_106646689";"P020000000001HU";"3155250369524";"";"Crème légère 25% MG stérilisée"
"AUCH_ACHA_106647491";"P02000000000231";"5060426810107";"V-Label végan;V-Label végétarien";"La Coop Coco Riz Au Lait de Coco 2x125gr"
"AUCH_ACHA_106647511";"P0200000000023K";"3596710445097";"";"Fromage frais sucré aromatisé vanille 2,5% de matière grasse, enrichi en calcium."
"AUCH_ACHA_106648053";"P020000000002GK";"3596710444373";"Eurofeuille;Eurofeuille";"Purée de pommes sans sucres ajoutés* biologique. * conformément à la réglementation. Contient des sucres naturellement présents dans les fruits."
"AUCH_ACHA_106648115";"P020000000002KB";"3596710438716";"";"Yaourt nature au lait de chèvre"
"AUCH_ACHA_106649396";"P020000000003GT";"3661344221819";"Ecocert;AB Agriculture biologique";"Yaourt bio brassé, sucré, au jus de citron"
"AUCH_ACHA_106649520";"P020000000003MU";"3297760019947";"";"Spécialité de Pommes Clémentines SSA 4x97g OE"
"AUCH_ACHA_106650527";"P020000000004B5";"3596710453672";"";"Boisson végétale à base d’amande, source de calcium et de vitamines B2, B12, D, E, stérilisé UHT. "
"AUCH_ACHA_106650780";"P020000000004MQ";"3277393400060";"";"Yaourt brassé sucré au fruit de la passion, aromatisé 500g"
"AUCH_ACHA_106651118";"P020000000004PM";"3329770061507";"";"Yaourt nature sucré sur lit aux fruits, aromatisé"
"AUCH_ACHA_106651113";"P020000000004QV";"3661344288690";"Ecocert;AB Agriculture biologique";"Crème dessert bio au chocolat"
"AUCH_ACHA_106651178";"P020000000004W3";"3329770061279";"";"Yaourt à boire sucré, aromatisé  "
"AUCH_ACHA_106651294";"P020000000004ZC";"3533630088201";"AB Agriculture biologique";"Lait demi-écrémé stérilisé UHT issu de l'agriculture biologique"
"AUCH_ACHA_106652577";"P020000000005JI";"3608580908197";"";"Riz au lait à la vanille"
"AUCH_ACHA_106652670";"P020000000005N6";"8000500290736";"";"KINDER PINGUI COCO : Génoise fourrée lait et noix de coco enrobée de chocolat supérieur au lait, avec décor au coco"
"AUCH_ACHA_106652998";"P020000000005SC";"3596710461349";"";"Yaourt nature"
"AUCH_ACHA_106652633";"P020000000005KL";"3023290013342";"";"Specialité à base de yaourt à la framboise et mousse fouettée à la crème."
"AUCH_ACHA_106653917";"P020000000006GG";"3596710455614";"";"lait demi-écrémé stérilisé UHT"
"AUCH_ACHA_106655085";"P020000000007BR";"3329770062375";"";"Spécialité laitière sucrée aromatisée enrichie en calcium et vitamine D"
"AUCH_ACHA_106654823";"P0200000000073Y";"3608580931584";"Forest Stewardship Council Mix";"Spécialité de Pêches et d'Abricots à la Verveine."
"AUCH_ACHA_106654947";"P0200000000077J";"3596710457830";"";"Crème dessert au chocolat, biologique"
"AUCH_ACHA_106655167";"P020000000007G8";"3523230046749";"";"Yaourt biologique au lait entier, sucré, à l'abricot et à la pêche et aromatisé"
"AUCH_ACHA_106655176";"P020000000007H3";"3596710465385";"Eurofeuille";"lait demi-écrémé stérilisé UHT biologique"
"AUCH_ACHA_106656163";"P0200000000080M";"3596710469253";"";"lait demi-écrémé stérilisé UHT"
"AUCH_ACHA_106655190";"P020000000007H2";"3596710465378";"Eurofeuille";"lait demi-écrémé issu de l'agriculture biologique - stérilisé UHT  *conformément au mode de production biologique"
"AUCH_ACHA_106655878";"P020000000007WE";"3608580942764";"V-Label végan";"Mousse au lait de coco et au chocolat"
"AUCH_ACHA_106655870";"P020000000007WP";"3608580934783";"";"Dessert pâtissier."
"AUCH_ACHA_106656845";"P020000000008MP";"3596710461387";"";"Spécialité laitière nature"
