cui,CUG,GTIN d’encaissement,product_label,photo_id,media_url
P02000000000J19,910404,3335200009988;3335200009995,BDX CLAIRET J PEUX PAS J AICLAIRET ROSE 2019 75CL,MEDIASTEP88138898,https://media.auchan.fr/MEDIASTEP88138898_0x0/
A0219921125000062774,62774,3254560037533,AUCHAN PAELLA VOLAILLE FRUITSDE MER CYLINDRE 1KG,MEDIASTEP100836445,https://media.auchan.fr/MEDIASTEP100836445_0x0/
A0220170529000557949,557949,3596710448623,MMM SAUCE VINAIGRETTE HUILEOLIVE ECHALOTTES 350ML,MEDIASTEP57468006,https://media.auchan.fr/MEDIASTEP57468006_0x0/
P020000000001K7,869645,3700679610025,GOUTERS FOURRE CHOCOX6 232.5G,MEDIASTEP127157928,https://media.auchan.fr/MEDIASTEP127157928_0x0/
A0219970326000062871,62871,3178048242564,TERAXYL DENTIFRICE 2 EN 1BLANCHEUR+ FLACON 75 ML,MEDIASTEP84636774,https://media.auchan.fr/MEDIASTEP84636774_0x0/
A0220130110000617033,617033,3254690086807,BIO PRESSADE NECTAR FRUITS DESAISON BRIQUE 1.5L,MEDIASTEP66249493,https://media.auchan.fr/MEDIASTEP66249493_0x0/
A0220181205000794280,794280,3596710464524,AUCHAN FALAFELS MENTHE 400G,MEDIASTEP136043860,https://media.auchan.fr/MEDIASTEP136043860_0x0/
A0220120321000232775,232775,3596710379415,AUCHAN CHORIZO EXTRA FORT 225G,MEDIASTEP77210913,https://media.auchan.fr/MEDIASTEP77210913_0x0/
A0220180119000401401,401401,3700593603608,PERSAVON SAVON EXTRA DOUXMARSEILLE HYPOALLERG  2X300G,MEDIASTEP69558457,https://media.auchan.fr/MEDIASTEP69558457_0x0/
A0219990217000047146,47146,3289740422229,REG FESTEIN SSE VIANDE 450G,MEDIASTEP88417648,https://media.auchan.fr/MEDIASTEP88417648_0x0/
A0220080724000027909,27909,2030500279093;2092332000000,PIZZA CRUE REINE 30CM,MEDIASTEP59104849,https://media.auchan.fr/MEDIASTEP59104849_0x0/
P0200000000136L,608984,3438933001851,VIN MOUSSEUX CHARLES VOLNERLES MINIS DEMI SEC 3X20CL,MEDIASTEP157188036,https://media.auchan.fr/MEDIASTEP157188036_0x0/
