"cui";"Marque commerciale eCommerce";"Libellé Web";"Quantité vendue"
"P0200000000011Q";"LES 2 VACHES";"Dessert fondant bio chocolat";"4x125g"
"P020000000001AG";"ACTIVIA";"Yaourt bifidus nature";"12x125g"
"P020000000001E2";"PRESIDENT";"Crème semi-épaisse légère 25%MG UHT";"3x20cl"
"P020000000001HU";"PRESIDENT";"Crème";"80cl"
"P020000000001CL";"ANDROS";"Dessert de fruit de poire avec morceaux";"4x100g"
"P020000000001N0";"CHARLES & ALICE";"Dessert aux fruits pommes myrtilles sans sucres ajoutés";"4x97g"
"P02000000000231";"LA COOP";"Dessert végétal riz au lait de coco à la vanille";"2x125g"
"P0200000000023K";"AUCHAN";"Fromage blanc à la Vanille 2.7% MG";"4x100g"
"P020000000002GK";"AUCHAN BIO";"Purée de pommes sans sucres ajoutés";"4x95g"
"P020000000002KB";"AUCHAN";"Yaourt au lait de chèvre nature";"4x115g"
"P020000000003GT";"LES 2 VACHES";"Yaourt bio jus de citron brassé";"4x115g"
"P020000000003I1";"DANONINO";"Yaourt à boire banane fraise-pêche abricot";"6x100g"
"P020000000003MU";"CHARLES & ALICE";"Dessert pommes clémentines sans sucres ajoutés";"4x100g"
"P020000000003UW";"FERME COLLET";"Faisselle moulé à la louche";"10x100g"
"A0220160311000029019";"AUCHAN BIO";"Pot de crème au chocolat";"2x100g"
"A0220160311000028993";"AUCHAN";"Dessert végétal au soja et au chocolat saveur noisette";"4x100g"
"A0220160311000028970";"AUCHAN";"Dessert au soja et caramel";"4x100g"
"A0220160223000025956";"LA LAITIERE";"Crème au caramel doré au four";"4x100g"
"A0220151023000010145";"LA LAITIERE";"Riz au lait nature";"4x115g"
"A0220151015000865673";"ANDROS";"Spécialité pomme nature";"8x100g"
"A0220150916000864067";"BONNE MAMAN";"Yaourt sur lit de confiture de fraise";"4x125g"
"A0220150915000864057";"MAMIE NOVA";"Dessert au chocolat et à la menthe";"2x150g"
"A0220150915000864055";"MAMIE NOVA";"Crème dessert  au chocolat";"2x150g"
"A0220150730000862024";"ANDROS";"Spécialité pomme sans sucres ajoutés";"16x100g"
"A0220150421000807148";"ALPRO";"Boisson végétale soja";"1L"
"A0220150324000805995";"AUCHAN BIO";"Yaourt brassé sucré à la vanille";"4x100g"
"A0220141231000802303";"AUCHAN";"Yaourt à la grecque nature";"4x125g"
"A0220140923000798893";"LA LAITIERE";"Pot de crème au chocolat";"8x100g"
"A0220141126000800974";"AUCHAN";"Yaourt nature";"12x125g"
"A0220140731000796799";"BONNE MAMAN";"Mousse au chocolat au lait et aux œufs frais";"4x50g"
"A0220140729000796717";"AUCHAN";"Spécialité pomme abricot sans sucres ajoutés";"4x100g"
"A0220140626000794824";"AUCHAN";"Fromage blanc allégé 0%MG";"500g"
"A0220140521000792247";"MARIE MORIN";"Mousse au chocolat à l'ancienne";"400g"
"A0220140424000791279";"ACTIMEL";"Yaourt à boire nature";"14x100g"
"A0220140415000790886";"VRAI";"Fromage blanc bio 3,6% MG";"500g"
"A0220140331000790005";"TAILLEFINE";"Mousse au chocolat allégée chocolat 1,9% MG";"4x60g"
"A0220140404000790371";"VRAI";"Yaourt bio sur lit de myrtille au lait de brebis";"2x125g"
"A0220140110000389637";"AUCHAN";"Crème dessert à la pistache";"4x125g"
